output_file,source_file,shoe,surface,source_index,h2h_index,pk_index,H2H_ms,PK_dB,PK_max_dB,amplitude_scale,n_impacts,sample_rate,duration_s,source_impact_time_s
dress_gravel_neutral_0010__H2H_598.88ms__PK_60.27dB.wav,dress_gravel_neutral_0010.wav,dress,gravel,0,0,0,598.88,60.272,89.316,0.6748175019033543,17,44100,10.0,5.079365079365079
dress_gravel_neutral_0021__H2H_598.88ms__PK_64.42dB.wav,dress_gravel_neutral_0021.wav,dress,gravel,1,0,1,598.88,64.42114285714285,89.316,0.7212721444885895,17,44100,10.0,0.1073922902494331
dress_gravel_neutral_0010__H2H_598.88ms__PK_68.57dB.wav,dress_gravel_neutral_0010.wav,dress,gravel,0,0,2,598.88,68.57028571428572,89.316,0.7677267870738246,17,44100,10.0,5.079365079365079
dress_gravel_neutral_0021__H2H_598.88ms__PK_72.72dB.wav,dress_gravel_neutral_0021.wav,dress,gravel,1,0,3,598.88,72.71942857142857,89.316,0.8141814296590596,17,44100,10.0,0.1073922902494331
dress_gravel_neutral_0010__H2H_598.88ms__PK_76.87dB.wav,dress_gravel_neutral_0010.wav,dress,gravel,0,0,4,598.88,76.86857142857143,89.316,0.8606360722442947,17,44100,10.0,5.079365079365079
dress_gravel_neutral_0021__H2H_598.88ms__PK_81.02dB.wav,dress_gravel_neutral_0021.wav,dress,gravel,1,0,5,598.88,81.01771428571428,89.316,0.9070907148295297,17,44100,10.0,0.1073922902494331
dress_gravel_neutral_0010__H2H_598.88ms__PK_85.17dB.wav,dress_gravel_neutral_0010.wav,dress,gravel,0,0,6,598.88,85.16685714285714,89.316,0.9535453574147649,17,44100,10.0,5.079365079365079
dress_gravel_neutral_0021__H2H_598.88ms__PK_89.32dB.wav,dress_gravel_neutral_0021.wav,dress,gravel,1,0,7,598.88,89.316,89.316,1.0,17,44100,10.0,0.1073922902494331
dress_gravel_neutral_0021__H2H_686.47ms__PK_60.27dB.wav,dress_gravel_neutral_0021.wav,dress,gravel,1,1,0,686.4685714285714,60.272,89.316,0.6748175019033543,15,44100,10.0,0.1073922902494331
dress_gravel_neutral_0010__H2H_686.47ms__PK_64.42dB.wav,dress_gravel_neutral_0010.wav,dress,gravel,0,1,1,686.4685714285714,64.42114285714285,89.316,0.7212721444885895,15,44100,10.0,5.079365079365079
dress_gravel_neutral_0021__H2H_686.47ms__PK_68.57dB.wav,dress_gravel_neutral_0021.wav,dress,gravel,1,1,2,686.4685714285714,68.57028571428572,89.316,0.7677267870738246,15,44100,10.0,0.1073922902494331
dress_gravel_neutral_0010__H2H_686.47ms__PK_72.72dB.wav,dress_gravel_neutral_0010.wav,dress,gravel,0,1,3,686.4685714285714,72.71942857142857,89.316,0.8141814296590596,15,44100,10.0,5.079365079365079
dress_gravel_neutral_0021__H2H_686.47ms__PK_76.87dB.wav,dress_gravel_neutral_0021.wav,dress,gravel,1,1,4,686.4685714285714,76.86857142857143,89.316,0.8606360722442947,15,44100,10.0,0.1073922902494331
dress_gravel_neutral_0010__H2H_686.47ms__PK_81.02dB.wav,dress_gravel_neutral_0010.wav,dress,gravel,0,1,5,686.4685714285714,81.01771428571428,89.316,0.9070907148295297,15,44100,10.0,5.079365079365079
dress_gravel_neutral_0021__H2H_686.47ms__PK_85.17dB.wav,dress_gravel_neutral_0021.wav,dress,gravel,1,1,6,686.4685714285714,85.16685714285714,89.316,0.9535453574147649,15,44100,10.0,0.1073922902494331
dress_gravel_neutral_0010__H2H_686.47ms__PK_89.32dB.wav,dress_gravel_neutral_0010.wav,dress,gravel,0,1,7,686.4685714285714,89.316,89.316,1.0,15,44100,10.0,5.079365079365079
dress_gravel_neutral_0010__H2H_774.06ms__PK_60.27dB.wav,dress_gravel_neutral_0010.wav,dress,gravel,0,2,0,774.0571428571428,60.272,89.316,0.6748175019033543,13,44100,10.0,5.079365079365079
dress_gravel_neutral_0021__H2H_774.06ms__PK_64.42dB.wav,dress_gravel_neutral_0021.wav,dress,gravel,1,2,1,774.0571428571428,64.42114285714285,89.316,0.7212721444885895,13,44100,10.0,0.1073922902494331
dress_gravel_neutral_0010__H2H_774.06ms__PK_68.57dB.wav,dress_gravel_neutral_0010.wav,dress,gravel,0,2,2,774.0571428571428,68.57028571428572,89.316,0.7677267870738246,13,44100,10.0,5.079365079365079
dress_gravel_neutral_0021__H2H_774.06ms__PK_72.72dB.wav,dress_gravel_neutral_0021.wav,dress,gravel,1,2,3,774.0571428571428,72.71942857142857,89.316,0.8141814296590596,13,44100,10.0,0.1073922902494331
dress_gravel_neutral_0010__H2H_774.06ms__PK_76.87dB.wav,dress_gravel_neutral_0010.wav,dress,gravel,0,2,4,774.0571428571428,76.86857142857143,89.316,0.8606360722442947,13,44100,10.0,5.079365079365079
dress_gravel_neutral_0021__H2H_774.06ms__PK_81.02dB.wav,dress_gravel_neutral_0021.wav,dress,gravel,1,2,5,774.0571428571428,81.01771428571428,89.316,0.9070907148295297,13,44100,10.0,0.1073922902494331
dress_gravel_neutral_0010__H2H_774.06ms__PK_85.17dB.wav,dress_gravel_neutral_0010.wav,dress,gravel,0,2,6,774.0571428571428,85.16685714285714,89.316,0.9535453574147649,13,44100,10.0,5.079365079365079
dress_gravel_neutral_0021__H2H_774.06ms__PK_89.32dB.wav,dress_gravel_neutral_0021.wav,dress,gravel,1,2,7,774.0571428571428,89.316,89.316,1.0,13,44100,10.0,0.1073922902494331
dress_gravel_neutral_0021__H2H_861.65ms__PK_60.27dB.wav,dress_gravel_neutral_0021.wav,dress,gravel,1,3,0,861.6457142857143,60.272,89.316,0.6748175019033543,12,44100,10.0,0.1073922902494331
dress_gravel_neutral_0010__H2H_861.65ms__PK_64.42dB.wav,dress_gravel_neutral_0010.wav,dress,gravel,0,3,1,861.6457142857143,64.42114285714285,89.316,0.7212721444885895,12,44100,10.0,5.079365079365079
dress_gravel_neutral_0021__H2H_861.65ms__PK_68.57dB.wav,dress_gravel_neutral_0021.wav,dress,gravel,1,3,2,861.6457142857143,68.57028571428572,89.316,0.7677267870738246,12,44100,10.0,0.1073922902494331
dress_gravel_neutral_0010__H2H_861.65ms__PK_72.72dB.wav,dress_gravel_neutral_0010.wav,dress,gravel,0,3,3,861.6457142857143,72.71942857142857,89.316,0.8141814296590596,12,44100,10.0,5.079365079365079
dress_gravel_neutral_0021__H2H_861.65ms__PK_76.87dB.wav,dress_gravel_neutral_0021.wav,dress,gravel,1,3,4,861.6457142857143,76.86857142857143,89.316,0.8606360722442947,12,44100,10.0,0.1073922902494331
dress_gravel_neutral_0010__H2H_861.65ms__PK_81.02dB.wav,dress_gravel_neutral_0010.wav,dress,gravel,0,3,5,861.6457142857143,81.01771428571428,89.316,0.9070907148295297,12,44100,10.0,5.079365079365079
dress_gravel_neutral_0021__H2H_861.65ms__PK_85.17dB.wav,dress_gravel_neutral_0021.wav,dress,gravel,1,3,6,861.6457142857143,85.16685714285714,89.316,0.9535453574147649,12,44100,10.0,0.1073922902494331
dress_gravel_neutral_0010__H2H_861.65ms__PK_89.32dB.wav,dress_gravel_neutral_0010.wav,dress,gravel,0,3,7,861.6457142857143,89.316,89.316,1.0,12,44100,10.0,5.079365079365079
dress_gravel_neutral_0010__H2H_949.23ms__PK_60.27dB.wav,dress_gravel_neutral_0010.wav,dress,gravel,0,4,0,949.2342857142858,60.272,89.316,0.6748175019033543,11,44100,10.0,5.079365079365079
dress_gravel_neutral_0021__H2H_949.23ms__PK_64.42dB.wav,dress_gravel_neutral_0021.wav,dress,gravel,1,4,1,949.2342857142858,64.42114285714285,89.316,0.7212721444885895,11,44100,10.0,0.1073922902494331
dress_gravel_neutral_0010__H2H_949.23ms__PK_68.57dB.wav,dress_gravel_neutral_0010.wav,dress,gravel,0,4,2,949.2342857142858,68.57028571428572,89.316,0.7677267870738246,11,44100,10.0,5.079365079365079
dress_gravel_neutral_0021__H2H_949.23ms__PK_72.72dB.wav,dress_gravel_neutral_0021.wav,dress,gravel,1,4,3,949.2342857142858,72.71942857142857,89.316,0.8141814296590596,11,44100,10.0,0.1073922902494331
dress_gravel_neutral_0010__H2H_949.23ms__PK_76.87dB.wav,dress_gravel_neutral_0010.wav,dress,gravel,0,4,4,949.2342857142858,76.86857142857143,89.316,0.8606360722442947,11,44100,10.0,5.079365079365079
dress_gravel_neutral_0021__H2H_949.23ms__PK_81.02dB.wav,dress_gravel_neutral_0021.wav,dress,gravel,1,4,5,949.2342857142858,81.01771428571428,89.316,0.9070907148295297,11,44100,10.0,0.1073922902494331
dress_gravel_neutral_0010__H2H_949.23ms__PK_85.17dB.wav,dress_gravel_neutral_0010.wav,dress,gravel,0,4,6,949.2342857142858,85.16685714285714,89.316,0.9535453574147649,11,44100,10.0,5.079365079365079
dress_gravel_neutral_0021__H2H_949.23ms__PK_89.32dB.wav,dress_gravel_neutral_0021.wav,dress,gravel,1,4,7,949.2342857142858,89.316,89.316,1.0,11,44100,10.0,0.1073922902494331
dress_gravel_neutral_0021__H2H_1036.82ms__PK_60.27dB.wav,dress_gravel_neutral_0021.wav,dress,gravel,1,5,0,1036.8228571428572,60.272,89.316,0.6748175019033543,10,44100,10.0,0.1073922902494331
dress_gravel_neutral_0010__H2H_1036.82ms__PK_64.42dB.wav,dress_gravel_neutral_0010.wav,dress,gravel,0,5,1,1036.8228571428572,64.42114285714285,89.316,0.7212721444885895,10,44100,10.0,5.079365079365079
dress_gravel_neutral_0021__H2H_1036.82ms__PK_68.57dB.wav,dress_gravel_neutral_0021.wav,dress,gravel,1,5,2,1036.8228571428572,68.57028571428572,89.316,0.7677267870738246,10,44100,10.0,0.1073922902494331
dress_gravel_neutral_0010__H2H_1036.82ms__PK_72.72dB.wav,dress_gravel_neutral_0010.wav,dress,gravel,0,5,3,1036.8228571428572,72.71942857142857,89.316,0.8141814296590596,10,44100,10.0,5.079365079365079
dress_gravel_neutral_0021__H2H_1036.82ms__PK_76.87dB.wav,dress_gravel_neutral_0021.wav,dress,gravel,1,5,4,1036.8228571428572,76.86857142857143,89.316,0.8606360722442947,10,44100,10.0,0.1073922902494331
dress_gravel_neutral_0010__H2H_1036.82ms__PK_81.02dB.wav,dress_gravel_neutral_0010.wav,dress,gravel,0,5,5,1036.8228571428572,81.01771428571428,89.316,0.9070907148295297,10,44100,10.0,5.079365079365079
dress_gravel_neutral_0021__H2H_1036.82ms__PK_85.17dB.wav,dress_gravel_neutral_0021.wav,dress,gravel,1,5,6,1036.8228571428572,85.16685714285714,89.316,0.9535453574147649,10,44100,10.0,0.1073922902494331
dress_gravel_neutral_0010__H2H_1036.82ms__PK_89.32dB.wav,dress_gravel_neutral_0010.wav,dress,gravel,0,5,7,1036.8228571428572,89.316,89.316,1.0,10,44100,10.0,5.079365079365079
dress_gravel_neutral_0010__H2H_1124.41ms__PK_60.27dB.wav,dress_gravel_neutral_0010.wav,dress,gravel,0,6,0,1124.4114285714286,60.272,89.316,0.6748175019033543,9,44100,10.0,5.079365079365079
dress_gravel_neutral_0021__H2H_1124.41ms__PK_64.42dB.wav,dress_gravel_neutral_0021.wav,dress,gravel,1,6,1,1124.4114285714286,64.42114285714285,89.316,0.7212721444885895,9,44100,10.0,0.1073922902494331
dress_gravel_neutral_0010__H2H_1124.41ms__PK_68.57dB.wav,dress_gravel_neutral_0010.wav,dress,gravel,0,6,2,1124.4114285714286,68.57028571428572,89.316,0.7677267870738246,9,44100,10.0,5.079365079365079
dress_gravel_neutral_0021__H2H_1124.41ms__PK_72.72dB.wav,dress_gravel_neutral_0021.wav,dress,gravel,1,6,3,1124.4114285714286,72.71942857142857,89.316,0.8141814296590596,9,44100,10.0,0.1073922902494331
dress_gravel_neutral_0010__H2H_1124.41ms__PK_76.87dB.wav,dress_gravel_neutral_0010.wav,dress,gravel,0,6,4,1124.4114285714286,76.86857142857143,89.316,0.8606360722442947,9,44100,10.0,5.079365079365079
dress_gravel_neutral_0021__H2H_1124.41ms__PK_81.02dB.wav,dress_gravel_neutral_0021.wav,dress,gravel,1,6,5,1124.4114285714286,81.01771428571428,89.316,0.9070907148295297,9,44100,10.0,0.1073922902494331
dress_gravel_neutral_0010__H2H_1124.41ms__PK_85.17dB.wav,dress_gravel_neutral_0010.wav,dress,gravel,0,6,6,1124.4114285714286,85.16685714285714,89.316,0.9535453574147649,9,44100,10.0,5.079365079365079
dress_gravel_neutral_0021__H2H_1124.41ms__PK_89.32dB.wav,dress_gravel_neutral_0021.wav,dress,gravel,1,6,7,1124.4114285714286,89.316,89.316,1.0,9,44100,10.0,0.1073922902494331
dress_gravel_neutral_0021__H2H_1212.00ms__PK_60.27dB.wav,dress_gravel_neutral_0021.wav,dress,gravel,1,7,0,1212.0,60.272,89.316,0.6748175019033543,9,44100,10.0,0.1073922902494331
dress_gravel_neutral_0010__H2H_1212.00ms__PK_64.42dB.wav,dress_gravel_neutral_0010.wav,dress,gravel,0,7,1,1212.0,64.42114285714285,89.316,0.7212721444885895,9,44100,10.0,5.079365079365079
dress_gravel_neutral_0021__H2H_1212.00ms__PK_68.57dB.wav,dress_gravel_neutral_0021.wav,dress,gravel,1,7,2,1212.0,68.57028571428572,89.316,0.7677267870738246,9,44100,10.0,0.1073922902494331
dress_gravel_neutral_0010__H2H_1212.00ms__PK_72.72dB.wav,dress_gravel_neutral_0010.wav,dress,gravel,0,7,3,1212.0,72.71942857142857,89.316,0.8141814296590596,9,44100,10.0,5.079365079365079
dress_gravel_neutral_0021__H2H_1212.00ms__PK_76.87dB.wav,dress_gravel_neutral_0021.wav,dress,gravel,1,7,4,1212.0,76.86857142857143,89.316,0.8606360722442947,9,44100,10.0,0.1073922902494331
dress_gravel_neutral_0010__H2H_1212.00ms__PK_81.02dB.wav,dress_gravel_neutral_0010.wav,dress,gravel,0,7,5,1212.0,81.01771428571428,89.316,0.9070907148295297,9,44100,10.0,5.079365079365079
dress_gravel_neutral_0021__H2H_1212.00ms__PK_85.17dB.wav,dress_gravel_neutral_0021.wav,dress,gravel,1,7,6,1212.0,85.16685714285714,89.316,0.9535453574147649,9,44100,10.0,0.1073922902494331
dress_gravel_neutral_0010__H2H_1212.00ms__PK_89.32dB.wav,dress_gravel_neutral_0010.wav,dress,gravel,0,7,7,1212.0,89.316,89.316,1.0,9,44100,10.0,5.079365079365079
dress_metal_neutral_0241__H2H_518.76ms__PK_56.17dB.wav,dress_metal_neutral_0241.wav,dress,metal,0,0,0,518.76,56.172,85.60799999999999,0.6561536305018223,20,44100,10.0,5.134512471655329
dress_metal_neutral_0245__H2H_518.76ms__PK_60.38dB.wav,dress_metal_neutral_0245.wav,dress,metal,1,0,1,518.76,60.37714285714286,85.60799999999999,0.7052745404301335,20,44100,10.0,2.2262131519274377
dress_metal_neutral_0241__H2H_518.76ms__PK_64.58dB.wav,dress_metal_neutral_0241.wav,dress,metal,0,0,2,518.76,64.58228571428572,85.60799999999999,0.7543954503584446,20,44100,10.0,5.134512471655329
dress_metal_neutral_0245__H2H_518.76ms__PK_68.79dB.wav,dress_metal_neutral_0245.wav,dress,metal,1,0,3,518.76,68.78742857142856,85.60799999999999,0.8035163602867555,20,44100,10.0,2.2262131519274377
dress_metal_neutral_0241__H2H_518.76ms__PK_72.99dB.wav,dress_metal_neutral_0241.wav,dress,metal,0,0,4,518.76,72.99257142857142,85.60799999999999,0.8526372702150667,20,44100,10.0,5.134512471655329
dress_metal_neutral_0245__H2H_518.76ms__PK_77.20dB.wav,dress_metal_neutral_0245.wav,dress,metal,1,0,5,518.76,77.19771428571428,85.60799999999999,0.9017581801433778,20,44100,10.0,2.2262131519274377
dress_metal_neutral_0241__H2H_518.76ms__PK_81.40dB.wav,dress_metal_neutral_0241.wav,dress,metal,0,0,6,518.76,81.40285714285713,85.60799999999999,0.9508790900716888,20,44100,10.0,5.134512471655329
dress_metal_neutral_0245__H2H_518.76ms__PK_85.61dB.wav,dress_metal_neutral_0245.wav,dress,metal,1,0,7,518.76,85.60799999999999,85.60799999999999,1.0,20,44100,10.0,2.2262131519274377
dress_metal_neutral_0245__H2H_621.82ms__PK_56.17dB.wav,dress_metal_neutral_0245.wav,dress,metal,1,1,0,621.8171428571428,56.172,85.60799999999999,0.6561536305018223,16,44100,10.0,2.2262131519274377
